From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs	Gene Ontology (molecular function)	Gene Ontology (GO)	Gene Ontology (biological process)	Gene Ontology (cellular component)
A0A109LBU6	A0A109LBU6	unreviewed	A0A109LBU6_PSEFL	Aminodeoxychorismate lyase (EC 4.1.3.38)	pabC PFLmoz3_05738	Pseudomonas fluorescens	137	GO:0005829; GO:0008153; GO:0008696	4-amino-4-deoxychorismate lyase activity [GO:0008696]	cytosol [GO:0005829]; 4-amino-4-deoxychorismate lyase activity [GO:0008696]; 4-aminobenzoate biosynthetic process [GO:0008153]	4-aminobenzoate biosynthetic process [GO:0008153]	cytosol [GO:0005829]
A0A2M8IT47	A0A2M8IT47	unreviewed	A0A2M8IT47_9RHOB	Elongation factor 1-alpha	tuf CVM52_26060	Pseudooceanicola lipolyticus	303	GO:0003746; GO:0005525	GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]	GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]		
A0A3M4HEF1	A0A3M4HEF1		A0A3M4HEF1_PSEFL	deleted								
A0A4T9W7G1	A0A4T9W7G1		A0A4T9W7G1_9FIRM	deleted								
A0A1L8ZGS9	A0A1L8ZGS9		A0A1L8ZGS9_9BACI	deleted								
C2E5T6	C2E5T6	unreviewed	C2E5T6_LACJH	ATP synthase epsilon chain (ATP synthase F1 sector epsilon subunit) (F-ATPase epsilon subunit)	atpC HMPREF0528_1061	Lactobacillus johnsonii ATCC 33200	146	GO:0005524; GO:0005886; GO:0016787; GO:0045261; GO:0046933	ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]	plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; hydrolase activity [GO:0016787]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]		plasma membrane [GO:0005886]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]
A0A4Y7X997	A0A4Y7X997		A0A4Y7X997_9BACT	deleted								
A0A3N7BDG9	A0A3N7BDG9	unreviewed	A0A3N7BDG9_9PSED	DNA ligase (ATP) (EC 6.5.1.1) (NHEJ DNA polymerase)	DBR46_24245	Pseudomonas sp. KBW05	1142	GO:0003677; GO:0003887; GO:0003910; GO:0004519; GO:0005524; GO:0006281; GO:0006310; GO:0008311; GO:0046872	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; DNA-directed DNA polymerase activity [GO:0003887]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA ligase (ATP) activity [GO:0003910]; DNA-directed DNA polymerase activity [GO:0003887]; double-stranded DNA 3'-5' DNA exonuclease activity [GO:0008311]; endonuclease activity [GO:0004519]; metal ion binding [GO:0046872]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]	
I4KEJ6	I4KEJ6	unreviewed	I4KEJ6_9PSED	Ethanolamine permease	eat_2 PflSS101_1681	Pseudomonas lactis	454	GO:0005886; GO:0022857	transmembrane transporter activity [GO:0022857]	plasma membrane [GO:0005886]; transmembrane transporter activity [GO:0022857]		plasma membrane [GO:0005886]
A0A443ZRF3	A0A443ZRF3	unreviewed	A0A443ZRF3_9PSED	CoA ester lyase	DM813_19405	Pseudomonas alkylphenolica	269	GO:0000287; GO:0006107; GO:0016829	lyase activity [GO:0016829]; magnesium ion binding [GO:0000287]	lyase activity [GO:0016829]; magnesium ion binding [GO:0000287]; oxaloacetate metabolic process [GO:0006107]	oxaloacetate metabolic process [GO:0006107]	
A0A109KW72	A0A109KW72	unreviewed	A0A109KW72_PSEFL	Integrating conjugative element protein	C7A10_23755 PFLmoz3_06118	Pseudomonas fluorescens	453					
A0A244CCQ0	A0A244CCQ0		A0A244CCQ0_LACJH	deleted								
A0A0R2D827	A0A0R2D827		A0A0R2D827_9LACO	deleted								
A0A377C753	A0A377C753	unreviewed	A0A377C753_ECOLX	CP4-57 prophage protein	yfjK_2 NCTC10429_01965	Escherichia coli	467	GO:0004386; GO:0005524; GO:0016787	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]	ATP binding [GO:0005524]; helicase activity [GO:0004386]; hydrolase activity [GO:0016787]		
D0R328	D0R328	unreviewed	D0R328_LACJF	Dipeptidase (EC 3.4.-.-)	FI9785_613	Lactobacillus johnsonii (strain FI9785)	377	GO:0006508; GO:0016805; GO:0070004	cysteine-type exopeptidase activity [GO:0070004]; dipeptidase activity [GO:0016805]	cysteine-type exopeptidase activity [GO:0070004]; dipeptidase activity [GO:0016805]; proteolysis [GO:0006508]	proteolysis [GO:0006508]	
C2QLG8	C2QLG8		C2QLG8_BACCE	deleted								
A0A120FZ32	A0A120FZ32	unreviewed	A0A120FZ32_PSEFL	Chain-length determining protein	PFL603g_02938	Pseudomonas fluorescens	425	GO:0004713; GO:0005886	protein tyrosine kinase activity [GO:0004713]	plasma membrane [GO:0005886]; protein tyrosine kinase activity [GO:0004713]		plasma membrane [GO:0005886]
A0A0R3ABF4	A0A0R3ABF4	unreviewed	A0A0R3ABF4_9PSED	Membrane protein	TX23_20415	Pseudomonas paralactis	134	GO:0016020		membrane [GO:0016020]		membrane [GO:0016020]
A0A1X6RM58	A0A1X6RM58		A0A1X6RM58_CHLAO	deleted								
A0A0D1JEX3	A0A0D1JEX3	unreviewed	A0A0D1JEX3_BACIU	L-lactate permease	SC09_Contig25orf00894	Bacillus subtilis	327	GO:0005886; GO:0015129; GO:0015295	lactate transmembrane transporter activity [GO:0015129]; solute:proton symporter activity [GO:0015295]	plasma membrane [GO:0005886]; lactate transmembrane transporter activity [GO:0015129]; solute:proton symporter activity [GO:0015295]		plasma membrane [GO:0005886]
A0A2X1KQ12	A0A2X1KQ12	unreviewed	A0A2X1KQ12_ECOLX	Bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase (EC 2.1.2.3)	purH_4 NCTC11126_05502	Escherichia coli	188	GO:0003937; GO:0004643; GO:0005829; GO:0006189	IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]	cytosol [GO:0005829]; IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; 'de novo' IMP biosynthetic process [GO:0006189]	'de novo' IMP biosynthetic process [GO:0006189]	cytosol [GO:0005829]
W4TNR0	W4TNR0		W4TNR0_CUTAC	deleted								
A0A2U2P1S5	A0A2U2P1S5		A0A2U2P1S5_ENTHR	deleted								
A0A2T4E215	A0A2T4E215		A0A2T4E215_9PROT	deleted								
A0A181ZYN8	A0A181ZYN8		A0A181ZYN8_ANAPH	deleted								
A0A0D1INR5	A0A0D1INR5	unreviewed	A0A0D1INR5_BACIU	histidine kinase (EC 2.7.13.3)	SC09_Contig25orf00818	Bacillus subtilis	337	GO:0000155; GO:0005886	phosphorelay sensor kinase activity [GO:0000155]	plasma membrane [GO:0005886]; phosphorelay sensor kinase activity [GO:0000155]		plasma membrane [GO:0005886]
A0A1E5NAB0	A0A1E5NAB0	unreviewed	A0A1E5NAB0_9SPIR	Uncharacterized protein	BFL38_00610	Brachyspira hampsonii	67					
W0P1P1	W0P1P1	unreviewed	W0P1P1_9BACI	Nonribosomal peptide synthetase	NRPS	Bacillus sp. C53	240	GO:0005829; GO:0031177; GO:0043041; GO:0044550	phosphopantetheine binding [GO:0031177]	cytosol [GO:0005829]; phosphopantetheine binding [GO:0031177]; amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	amino acid activation for nonribosomal peptide biosynthetic process [GO:0043041]; secondary metabolite biosynthetic process [GO:0044550]	cytosol [GO:0005829]
A0A4Q0I088	A0A4Q0I088	unreviewed	A0A4Q0I088_PSEAZ	Uncharacterized protein	B4O85_00185	Pseudomonas azotoformans	118					
A0A292D0A6	A0A292D0A6		A0A292D0A6_9PSED	deleted								
A0A0W0QZM6	A0A0W0QZM6		A0A0W0QZM6_PSEFL	deleted								
A0A4U9LDB7	A0A4U9LDB7		A0A4U9LDB7_ECOLX	deleted								
A0A109KQP9	A0A109KQP9	unreviewed	A0A109KQP9_PSEFL	Glucosyl transferase GtrII family protein	PFL603g_03736	Pseudomonas fluorescens	480	GO:0016020		membrane [GO:0016020]		membrane [GO:0016020]
A0A2R3H9R0	A0A2R3H9R0		A0A2R3H9R0_9PSED	deleted								
A0A1B3PT84	A0A1B3PT84		A0A1B3PT84_LACJH	deleted								
A0A0A0F566	A0A0A0F566	unreviewed	A0A0A0F566_9GAMM	Phosphate transport system permease protein	N799_03605	Lysobacter arseniciresistens ZS79	318	GO:0005315; GO:0005886; GO:0006817	phosphate transmembrane transporter activity [GO:0005315]	plasma membrane [GO:0005886]; phosphate transmembrane transporter activity [GO:0005315]; phosphate ion transport [GO:0006817]	phosphate ion transport [GO:0006817]	plasma membrane [GO:0005886]
A0A3F3JG16	A0A3F3JG16		A0A3F3JG16_9PSED	deleted								
A0A367N0Q3	A0A367N0Q3		A0A367N0Q3_9PSED	deleted								
A0A367N0B0	A0A367N0B0		A0A367N0B0_9PSED	deleted								
N6VUI3	N6VUI3		N6VUI3_9GAMM	deleted								
A0A3M4QPE2	A0A3M4QPE2	unreviewed	A0A3M4QPE2_9PSED	Glycosyl hydrolase family 13 catalytic domain-containing protein	ALP97_04557	Pseudomonas salomonii	379					
A0A3B8KE24	A0A3B8KE24		A0A3B8KE24_PSESP	deleted								
A0A3M5D4Z1	A0A3M5D4Z1		A0A3M5D4Z1_PSEA0	deleted								
A0A367MXT5	A0A367MXT5		A0A367MXT5_9PSED	deleted								
A0A1Z1N5P3	A0A1Z1N5P3		A0A1Z1N5P3_LACJH	deleted								
W4TN13	W4TN13		W4TN13_CUTAC	deleted								
A0A143GPU9	A0A143GPU9		A0A143GPU9_9PSED	deleted								
A0A0F0D951	A0A0F0D951		A0A0F0D951_9PSED	deleted								
A0A509CEH1	A0A509CEH1		A0A509CEH1_9ENTR	deleted								
A0A5E7I7H5	A0A5E7I7H5		A0A5E7I7H5_PSEFL	deleted								
A0A3D4SPY1	A0A3D4SPY1		A0A3D4SPY1_PSESP	deleted								
A0A292D1R1	A0A292D1R1		A0A292D1R1_9PSED	deleted								
A0A4Z0AXI2	A0A4Z0AXI2	unreviewed	A0A4Z0AXI2_9PSED	Metal-binding protein	DYL59_06650	Pseudomonas kairouanensis	273					
A0A3G7UDI4	A0A3G7UDI4	unreviewed	A0A3G7UDI4_9PSED	Inner membrane protein YfiN	C4K03_5351	Pseudomonas synxantha	420	GO:0007165; GO:0016020		membrane [GO:0016020]; signal transduction [GO:0007165]	signal transduction [GO:0007165]	membrane [GO:0016020]
A0A2B1JYT5	A0A2B1JYT5	unreviewed	A0A2B1JYT5_BACCE	Endonuclease	COJ50_26595	Bacillus cereus	174	GO:0004519	endonuclease activity [GO:0004519]	endonuclease activity [GO:0004519]		
A0A410QXS6	A0A410QXS6		A0A410QXS6_9BACI	deleted								
A0A1X3K7C5	A0A1X3K7C5		A0A1X3K7C5_ECOLX	deleted								
A0A4Q0HCV9	A0A4Q0HCV9	unreviewed	A0A4Q0HCV9_PSEAZ	Pilus assembly protein PilZ	B4O85_28415	Pseudomonas azotoformans	249	GO:0009288; GO:0035438	cyclic-di-GMP binding [GO:0035438]	bacterial-type flagellum [GO:0009288]; cyclic-di-GMP binding [GO:0035438]		bacterial-type flagellum [GO:0009288]
A0A1E4WJJ6	A0A1E4WJJ6		A0A1E4WJJ6_9PSED	deleted								
A0A354Y8W2	A0A354Y8W2	unreviewed	A0A354Y8W2_9GAMM	DNA topoisomerase (ATP-hydrolyzing) (EC 5.6.2.2)	DDZ67_04405	Lysobacteraceae bacterium	153	GO:0003677; GO:0005524; GO:0005694; GO:0006265; GO:0034335	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]	chromosome [GO:0005694]; ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA negative supercoiling activity [GO:0034335]; DNA topological change [GO:0006265]	DNA topological change [GO:0006265]	chromosome [GO:0005694]
A0A5F1HID3	A0A5F1HID3		A0A5F1HID3_SALEN	deleted								
A0A4Y9IEY6	A0A4Y9IEY6		A0A4Y9IEY6_LACJH	deleted								
A0A377A1A6	A0A377A1A6	unreviewed	A0A377A1A6_ECOLX	Superoxide dismutase (EC 1.15.1.1)	sodB NCTC8179_03755	Escherichia coli	145	GO:0004784; GO:0046872	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]	metal ion binding [GO:0046872]; superoxide dismutase activity [GO:0004784]		
A0A3N7E612	A0A3N7E612	unreviewed	A0A3N7E612_9PSED	Phosphotransferase	DBR46_24460	Pseudomonas sp. KBW05	988	GO:0005524; GO:0016740; GO:0016887	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transferase activity [GO:0016740]	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; transferase activity [GO:0016740]		
I7JUD6	I7JUD6	unreviewed	I7JUD6_9LACO	Large ribosomal subunit protein uL16	rplP BN55_06680	Lactobacillus hominis DSM 23910 = CRBIP 24.179	145	GO:0000049; GO:0003735; GO:0006412; GO:0019843; GO:0022625	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	cytosolic large ribosomal subunit [GO:0022625]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; translation [GO:0006412]	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]
A0A376MQF6	A0A376MQF6	unreviewed	A0A376MQF6_ECOLX	Chaperone protein DnaK (Heat shock protein 70) (Heat shock 70 kDaprotein) (HSP70)	dnaK_2 NCTC11112_03189	Escherichia coli	152	GO:0005524; GO:0140662	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]		
A0A1B3PVY1	A0A1B3PVY1		A0A1B3PVY1_LACJH	deleted								
A0A3N7BRD1	A0A3N7BRD1	unreviewed	A0A3N7BRD1_9PSED	Site-specific integrase	DBR46_14310	Pseudomonas sp. KBW05	680	GO:0003677; GO:0006310; GO:0015074	DNA binding [GO:0003677]	DNA binding [GO:0003677]; DNA integration [GO:0015074]; DNA recombination [GO:0006310]	DNA integration [GO:0015074]; DNA recombination [GO:0006310]	
A0A2T0HPX7	A0A2T0HPX7	unreviewed	A0A2T0HPX7_PSEFL	Ammonium transporter	C7A10_27800	Pseudomonas fluorescens	445	GO:0005886; GO:0008519	ammonium channel activity [GO:0008519]	plasma membrane [GO:0005886]; ammonium channel activity [GO:0008519]		plasma membrane [GO:0005886]
A0A2T4D208	A0A2T4D208		A0A2T4D208_9CYAN	deleted								
A0A2R9SKZ2	A0A2R9SKZ2		A0A2R9SKZ2_MYCTX	deleted								
A0A550J2P1	A0A550J2P1		A0A550J2P1_9PROT	deleted								
A0A3N7BDH6	A0A3N7BDH6	unreviewed	A0A3N7BDH6_9PSED	Aldehyde dehydrogenase	DBR46_24300	Pseudomonas sp. KBW05	379					
G4SZ62	G4SZ62	unreviewed	G4SZ62_META2	Particulate methane monooxygenase, C subunit (EC 1.14.13.25)	pmoC MEALZ_0514	Methylotuvimicrobium alcaliphilum (strain DSM 19304 / NCIMB 14124 / VKM B-2133 / 20Z) (Methylomicrobium alcaliphilum)	250	GO:0015049; GO:0016020	methane monooxygenase [NAD(P)H] activity [GO:0015049]	membrane [GO:0016020]; methane monooxygenase [NAD(P)H] activity [GO:0015049]		membrane [GO:0016020]
W4U8M3	W4U8M3		W4U8M3_CUTAC	deleted								
A0A1F1N3Q1	A0A1F1N3Q1		A0A1F1N3Q1_9STRE	deleted								
A0A3N9PQY8	A0A3N9PQY8		A0A3N9PQY8_9RHOB	deleted								
Q045V5	Q045V5	reviewed	RL7_LACGA	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12)	rplL LGAS_0362	Lactobacillus gasseri (strain ATCC 33323 / DSM 20243 / BCRC 14619 / CIP 102991 / JCM 1131 / KCTC 3163 / NCIMB 11718 / NCTC 13722 / AM63)	120	GO:0003729; GO:0003735; GO:0006412; GO:0022625	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]	cytosolic large ribosomal subunit [GO:0022625]; mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]
A0A367N0J6	A0A367N0J6		A0A367N0J6_9PSED	deleted								
A0A109LBM3	A0A109LBM3	unreviewed	A0A109LBM3_PSEFL	Acetylornithine aminotransferase (ACOAT) (EC 2.6.1.11)	aruC argD PFLmoz3_05655	Pseudomonas fluorescens	392	GO:0003992; GO:0005737; GO:0006526; GO:0030170; GO:0042802	identical protein binding [GO:0042802]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]	cytoplasm [GO:0005737]; identical protein binding [GO:0042802]; N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992]; pyridoxal phosphate binding [GO:0030170]; L-arginine biosynthetic process [GO:0006526]	L-arginine biosynthetic process [GO:0006526]	cytoplasm [GO:0005737]
A0A0R3AMX0	A0A0R3AMX0	unreviewed	A0A0R3AMX0_9PSED	Pilus assembly protein PapC	TX23_06100	Pseudomonas paralactis	840					
A0A0M4QFX4	A0A0M4QFX4		A0A0M4QFX4_9PSED	deleted								
P62216	P62216	reviewed	RECA_LACJO	Protein RecA (Recombinase A)	recA LJ_0839	Lactobacillus johnsonii (strain CNCM I-12250 / La1 / NCC 533)	360	GO:0003684; GO:0003697; GO:0005524; GO:0005829; GO:0006281; GO:0006310; GO:0009432; GO:0016887; GO:0140664	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]	cytosol [GO:0005829]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent DNA damage sensor activity [GO:0140664]; damaged DNA binding [GO:0003684]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	DNA recombination [GO:0006310]; DNA repair [GO:0006281]; SOS response [GO:0009432]	cytosol [GO:0005829]
A0A0M5LZ70	A0A0M5LZ70		A0A0M5LZ70_9PSED	deleted								
E6D4I9	E6D4I9		E6D4I9_CUTAC	deleted								
A0A3M5D938	A0A3M5D938		A0A3M5D938_PSEA0	deleted								
A0A376S258	A0A376S258		A0A376S258_ECOLX	deleted								
A0A376KL33	A0A376KL33	unreviewed	A0A376KL33_ECOLX	Glycine--tRNA ligase alpha subunit (EC 6.1.1.14) (Glycyl-tRNA synthetase alpha subunit)	glyQ_1 NCTC10418_00313	Escherichia coli	156	GO:0004820; GO:0005524; GO:0005829; GO:0006426	ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]	cytosol [GO:0005829]; ATP binding [GO:0005524]; glycine-tRNA ligase activity [GO:0004820]; glycyl-tRNA aminoacylation [GO:0006426]	glycyl-tRNA aminoacylation [GO:0006426]	cytosol [GO:0005829]
A0A143GHM8	A0A143GHM8		A0A143GHM8_9PSED	deleted								
A0A367GKR9	A0A367GKR9	unreviewed	A0A367GKR9_9SPHI	Endonuclease	DJ568_17065	Mucilaginibacter hurinus	93					
A0A2R3HCM2	A0A2R3HCM2		A0A2R3HCM2_9PSED	deleted								
A0A1B3PSQ0	A0A1B3PSQ0		A0A1B3PSQ0_LACJH	deleted								
A0A3N2FZG2	A0A3N2FZG2	unreviewed	A0A3N2FZG2_9MICO	Uncharacterized protein	EDF22_1473	Rathayibacter sp. PhB127	345					
A0A3M5PLP8	A0A3M5PLP8		A0A3M5PLP8_PSEMA	deleted								
