TRINITY_DN2_c62_g1_i7.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157EA0A	Staphylococcus aureus
TRINITY_DN2_c80_g1_i3.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115C0FD3	Staphylococcus aureus
TRINITY_DN303943_c0_g1_i1.p1	maltose/maltodextrin ABC transporter substrate-binding protein MalE n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0009CD3A51	Staphylococcus aureus
TRINITY_DN30492_c0_g1_i1.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN316938_c0_g1_i1.p1	Pyruvate formate-lyase activating enzyme n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=A0A380ECQ9_STAAU	Staphylococcus aureus
TRINITY_DN3199_c0_g1_i17.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN3199_c16_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN3258_c3_g2_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN325_c0_g1_i16.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3D0A40	Staphylococcus aureus
TRINITY_DN325_c23_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN325_c2_g1_i10.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN364_c27_g1_i30.p1	endonuclease/exonuclease/phosphatase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3B6F33	Staphylococcus aureus
TRINITY_DN3753_c0_g1_i12.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001156E2DE	Staphylococcus aureus
TRINITY_DN3753_c0_g1_i23.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157EA0A	Staphylococcus aureus
TRINITY_DN382_c0_g1_i4.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157C6CB	Staphylococcus aureus
TRINITY_DN382_c1_g2_i5.p1	endonuclease/exonuclease/phosphatase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E8158	Staphylococcus aureus
TRINITY_DN38403_c0_g1_i1.p2	reverse transcriptase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011580997	Staphylococcus aureus
TRINITY_DN39756_c0_g1_i1.p3	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159BB69	Staphylococcus aureus
TRINITY_DN403_c5_g1_i1.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN403_c5_g1_i2.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157EA0A	Staphylococcus aureus
TRINITY_DN403_c5_g1_i3.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN4083_c0_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN4083_c0_g2_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN40979_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000ED7D670	Staphylococcus aureus
TRINITY_DN4300_c4_g1_i5.p1	endonuclease/exonuclease/phosphatase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3C3652	Staphylococcus aureus
TRINITY_DN4300_c4_g1_i8.p1	endonuclease/exonuclease/phosphatase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3C3652	Staphylococcus aureus
TRINITY_DN46517_c1_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000ED7D670	Staphylococcus aureus
TRINITY_DN46_c5_g1_i6.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN4757_c1_g1_i3.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001156E2DE	Staphylococcus aureus
TRINITY_DN4985_c2_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN51735_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN5364_c4_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN5382_c3_g1_i1.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN577_c1_g1_i11.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157EA0A	Staphylococcus aureus
TRINITY_DN577_c1_g1_i4.p1	reverse transcriptase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI0011580997	Staphylococcus aureus
TRINITY_DN58533_c0_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN58533_c0_g1_i4.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN58533_c0_g1_i6.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN58_c0_g1_i10.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN58_c0_g1_i9.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158639F	Staphylococcus aureus
TRINITY_DN58_c3_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157C6CB	Staphylococcus aureus
TRINITY_DN612_c9_g1_i11.p3	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3E9016	Staphylococcus aureus
TRINITY_DN6477_c2_g1_i1.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN65436_c1_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN6983_c1_g1_i3.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN699_c1_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN699_c5_g2_i3.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000EC6EB46	Staphylococcus aureus
TRINITY_DN70779_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3D0A40	Staphylococcus aureus
TRINITY_DN7281_c0_g1_i1.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN7693_c2_g1_i3.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001159B1B4	Staphylococcus aureus
TRINITY_DN83830_c0_g1_i7.p2	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115818D6	Staphylococcus aureus
TRINITY_DN8604_c0_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001158929D	Staphylococcus aureus
TRINITY_DN88731_c1_g1_i1.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3BA54F	Staphylococcus aureus
TRINITY_DN8900_c0_g1_i5.p1	reverse transcriptase family protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI00115943A6	Staphylococcus aureus
TRINITY_DN9480_c0_g1_i3.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3CE1AB	Staphylococcus aureus
TRINITY_DN975_c2_g1_i1.p1	endonuclease/exonuclease/phosphatase family protein n=2 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3C3652	Staphylococcus aureus
TRINITY_DN9938_c2_g1_i2.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN9938_c2_g1_i9.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI001157A3FB	Staphylococcus aureus
TRINITY_DN99_c0_g1_i11.p1	hypothetical protein n=1 Tax=Staphylococcus aureus TaxID=1280 RepID=UPI000E3C86C6	Staphylococcus aureus
