# Program:featureCounts v2.0.0; Command:"featureCounts" "-T" "30" "-t" "CDS" "-g" "transcript_id" "-s" "0" "-p" "-M" "-a" "./trinity_out_dir.Trinity.fasta.transdecoder.gtf" "-o" "NwOut-fc.txt" "SRR9602334UnmappedAligned.sortedByCoord.out.bam" "SRR9602335UnmappedAligned.sortedByCoord.out.bam" "SRR9602336UnmappedAligned.sortedByCoord.out.bam" "SRR9602337UnmappedAligned.sortedByCoord.out.bam" "SRR9602338UnmappedAligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR9602334UnmappedAligned.sortedByCoord.out.bam	SRR9602335UnmappedAligned.sortedByCoord.out.bam	SRR9602336UnmappedAligned.sortedByCoord.out.bam	SRR9602337UnmappedAligned.sortedByCoord.out.bam	SRR9602338UnmappedAligned.sortedByCoord.out.bam
TRINITY_DN10378_c0_g1_i2.p1	TRINITY_DN10378_c0_g1_i2	1	489	+	489	0	3	1	0	0
TRINITY_DN10378_c0_g1_i3.p1	TRINITY_DN10378_c0_g1_i3	1	264	+	264	0	1	0	0	0
TRINITY_DN10382_c1_g1_i1.p4	TRINITY_DN10382_c1_g1_i1	3	431	-	429	1	3	1	14	6
TRINITY_DN10382_c2_g1_i1.p2	TRINITY_DN10382_c2_g1_i1	2	316	+	315	0	0	0	1	6
TRINITY_DN10382_c3_g1_i1.p3	TRINITY_DN10382_c3_g1_i1	2	214	-	213	0	0	0	1	0
TRINITY_DN10383_c0_g1_i1.p1	TRINITY_DN10383_c0_g1_i1	2	295	-	294	4	0	0	0	0
TRINITY_DN10386_c0_g1_i1.p1	TRINITY_DN10386_c0_g1_i1	180	377	-	198	4	0	0	0	0
TRINITY_DN10387_c0_g1_i1.p1	TRINITY_DN10387_c0_g1_i1	1	678	-	678	10	0	0	1	0
TRINITY_DN10387_c0_g1_i1.p5	TRINITY_DN10387_c0_g1_i1	675	968	-	294	0	0	0	0	0
TRINITY_DN103_c0_g1_i6.p2	TRINITY_DN103_c0_g1_i6	3	275	-	273	5	7	6	11	14
TRINITY_DN103_c11_g1_i5.p1	TRINITY_DN103_c11_g1_i5	266	1078	-	813	0	4	1	0	1
TRINITY_DN103_c11_g1_i6.p1	TRINITY_DN103_c11_g1_i6	266	865	-	600	0	1	1	0	0
TRINITY_DN103_c23_g1_i1.p1	TRINITY_DN103_c23_g1_i1	2	571	+	570	0	0	0	0	1
TRINITY_DN103_c29_g1_i1.p2	TRINITY_DN103_c29_g1_i1	3	263	+	261	1	5	2	0	0
TRINITY_DN103_c29_g1_i2.p2	TRINITY_DN103_c29_g1_i2	3	263	+	261	1	5	2	0	0
TRINITY_DN103_c4_g1_i13.p3	TRINITY_DN103_c4_g1_i13	1	180	+	180	35	19	23	63	54
TRINITY_DN10403_c0_g1_i1.p3	TRINITY_DN10403_c0_g1_i1	241	807	+	567	7	0	0	0	0
TRINITY_DN10403_c0_g1_i1.p5	TRINITY_DN10403_c0_g1_i1	2	211	+	210	2	0	0	0	0
TRINITY_DN10406_c0_g1_i1.p1	TRINITY_DN10406_c0_g1_i1	121	594	-	474	3	0	0	0	0
TRINITY_DN10406_c1_g1_i1.p2	TRINITY_DN10406_c1_g1_i1	3	200	+	198	2	0	0	0	0
TRINITY_DN10408_c1_g1_i2.p3	TRINITY_DN10408_c1_g1_i2	3	188	+	186	1	0	0	0	2
TRINITY_DN10409_c0_g1_i1.p2	TRINITY_DN10409_c0_g1_i1	2	382	-	381	5	0	0	0	0
TRINITY_DN10410_c0_g1_i1.p3	TRINITY_DN10410_c0_g1_i1	2	391	-	390	3	0	0	0	0
TRINITY_DN10410_c0_g1_i2.p3	TRINITY_DN10410_c0_g1_i2	2	391	-	390	2	0	0	0	2
TRINITY_DN10412_c0_g1_i1.p1	TRINITY_DN10412_c0_g1_i1	2	1240	+	1239	1	10	1	3	1
TRINITY_DN10412_c0_g1_i2.p1	TRINITY_DN10412_c0_g1_i2	2	1156	+	1155	1	7	2	1	1
TRINITY_DN10415_c0_g1_i1.p2	TRINITY_DN10415_c0_g1_i1	94	426	-	333	4	0	0	0	0
TRINITY_DN10418_c0_g1_i2.p1	TRINITY_DN10418_c0_g1_i2	322	1215	-	894	6	0	0	1	0
TRINITY_DN10418_c0_g1_i2.p3	TRINITY_DN10418_c0_g1_i2	2	307	-	306	4	0	0	0	0
TRINITY_DN10418_c0_g2_i1.p2	TRINITY_DN10418_c0_g2_i1	80	412	+	333	1	0	1	1	0
TRINITY_DN10419_c0_g1_i2.p1	TRINITY_DN10419_c0_g1_i2	2	442	+	441	1	8	0	0	2
TRINITY_DN10420_c0_g1_i1.p2	TRINITY_DN10420_c0_g1_i1	3	227	-	225	0	0	0	0	0
TRINITY_DN10420_c0_g1_i2.p1	TRINITY_DN10420_c0_g1_i2	1	285	-	285	0	0	2	0	0
TRINITY_DN10421_c0_g1_i1.p1	TRINITY_DN10421_c0_g1_i1	3	1226	-	1224	22	0	0	0	2
TRINITY_DN10422_c0_g1_i1.p2	TRINITY_DN10422_c0_g1_i1	22	495	-	474	5	0	0	0	0
TRINITY_DN10424_c0_g1_i1.p2	TRINITY_DN10424_c0_g1_i1	13	405	-	393	0	0	2	0	0
TRINITY_DN10427_c0_g1_i1.p1	TRINITY_DN10427_c0_g1_i1	1	516	+	516	13	0	0	0	1
TRINITY_DN10427_c1_g1_i1.p1	TRINITY_DN10427_c1_g1_i1	3	1193	+	1191	12	1	1	1	0
TRINITY_DN10430_c0_g1_i1.p1	TRINITY_DN10430_c0_g1_i1	1	354	+	354	4	1	0	0	0
TRINITY_DN10430_c0_g1_i2.p1	TRINITY_DN10430_c0_g1_i2	1	354	+	354	3	0	0	0	0
TRINITY_DN10430_c0_g1_i3.p1	TRINITY_DN10430_c0_g1_i3	1	516	+	516	2	0	0	0	0
TRINITY_DN10432_c0_g1_i1.p2	TRINITY_DN10432_c0_g1_i1	2	625	-	624	4	0	1	1	0
TRINITY_DN10433_c0_g1_i2.p2	TRINITY_DN10433_c0_g1_i2	1	270	+	270	2	0	0	0	0
